Date,Platja,Municipi o comarca,Sexe,Age,Nationality or undocumented,Baywatch (Surveillance),Flag,Morts,Extra info
17/07/2022,Platja Cambrils,Baix Camp,Home,60,espanyola,Sí,Verda,1,17/07/2022: platja Cambrils. Home espanyol d’uns 60 anys. Platja vigilada i bandera verda
22/07/2022,Platja de l’Escala,Alt Empordà,Home,68,belga,Sí,Verda,1,"22/07/2022: Platja de l’Escala. Home de 68 anys i nacionalitat belga, Platja de les muscleres. Platja vigilada i amb bandera verda"
26/07/2022,Platja Ribes Roges ,Garraf,Home,50,desconeguda,Sí,Desconeguda,1,"26/07/2022: Platja Ribes Roges de Vilanova i la Geltrú. Home de mitjana edat, sense identificar. Platja vigilada però encara no havia començat el servei de vigilància."
28/07/2022,Platja de Terramar ,Garraf,Dona,67,espanyola,Servei de vigilància finalitzat,Desconeguda,1,28/07/2022: Platja de Terramar de Sitges. Dona de 67 anys de nacionalitat espanyola. Servei vigilància finalitzat
30/07/2022,Platja de Terramar ,Garraf,Home,74,espanyola,Sí,Verda,1,30/07/2022: Platja de Terramar de Sitges. Home de 74 anys de nacionalitat espanyola. Platja vigilada i amb bandera verda
07/08/2022,Platja de l’Estartit (Baix Empordà,Baix Empordà,Home,59,marroquina,Sí,Verda,1,07/08/2022: Platja de l’Estartit (Baix Empordà). Home de 59 anys de nacionalitat marroquina. Platja vigilada i amb bandera verda
09/08/2022,Cala al costat de la platja de l’Estany Podrit a l’Ametlla de Mar,Baix Ebre,Home,70,francesa,Sense servei de vigilància,No,1,09/8/2022: petita cala al costat de la platja de l’Estany Podrit a l’Ametlla de Mar (Baix Ebre). Home de 70 anys de nacionalitat francesa. Platja no vigilada.
09/08/2022,Platja de l’Arenal de Vandellòs i l’Hospitalet de l’Infan,Baix Camp,Home,79,espanyola,Sí,Verda,1,09/8/2022: platja de l’Arenal de Vandellòs i l’Hospitalet de l’Infant (Baix Camp). Home de 79 anys de nacionalitat espanyola. Platja vigilada i amb bandera verda
09/08/2022,Platja de l’Arenal de Vandellòs i l’Hospitalet de l’Infant,Baix Camp,Home,88,desconeguda,Sí,Verda,1,09/8/2022: platja de l’Arenal de Vandellòs i l’Hospitalet de l’Infant (Baix Camp). Home de 88 anys. Trasllat en estat crític a Hospital Joan XXIII i mor posteriorment a l’hospital. Platja vigilada i amb bandera verda.
18/08/2022,Platja de Capellans de Salou (Tarragonès,Tarragonès,Home,46,romanesa,Sí,Groga,1,18/8/2022: platja de Capellans de Salou (Tarragonès). Home de 46 anys de nacionalitat romanesa. Platja vigilada i amb bandera groga. Ha passat en el moment de canvi a bandera vermella per vent de mestral.
18/08/2023,Platja de Capellans de Salou (Tarragonès,Tarragonès,Home,60,romanesa,Sí,Groga,1,18/8/2022: platja de Capellans de Salou (Tarragonès). Home de 60 anys de nacionalitat romanesa. Platja vigilada i amb bandera groga. Ha passat en el moment de canvi a bandera vermella per vent de mestral.
18/08/2024,Platja de Capellans de Salou (Tarragonès,Tarragonès,Home,15,romanesa,Sí,Groga,1,"18/8/2022: platja de Capellans de Salou (Tarragonès). Noi de 15 anys de nacionalitat romanesa, fill de l’home ofegat de 46 anys. Platja vigilada i amb bandera groga. Ha passat en el moment de canvi a bandera vermella per vent de mestral. Traslladat en estat crític a l’hospital Joan XXIII on ha mort hores més tard."
20/08/2022,Platja de la cala Pelosa (Roses),Alt Empordà,Home,71,francesa,Sense servei de vigilància,No,1,20/8/2022 Platja de la cala Pelosa. Home de 71 anys de nacionalitat francesa. Platja no vigilada. Rescatat per una embarcació i traslladat a la platja.
20/08/2022,Platja de la Barceloneta (Barcelona,Barcelona,Home,50,desconeguda,Desconegut,Desconeguda,1,20/8/2022 platja de la Barceloneta (Barcelona). Home de mitjana edat. Mort a l’hospital dia després.
25/08/2022,Platja de llevant,Tarragonès,Home,86,alemanya,Sí,Verda,1,"25/8/2022 platja de llevant, a Salou. Home alemany de 86 anys. Platja vigilada i bandera verda"
27/08/2022,Platja del Moll Grec de l’Escala,Alt Empordà,Home,78,espanyola,Desconegut,Desconeguda,1,27/08/2022 Platja del Moll Grec de l’Escala. Home de 78 anys de nacionalitat espanyola. Home amb aturada càrdio-respiratòria en zona accessible. Traslladat crític a Trueta. Va morir el dimarts 30/08 a l’Hospital
07/09/2022,Platja Gran de Tossa de Mar,La Selva,Home,76,espanyola,Sí,Groga,1,Platja Gran de Tossa de Mar. Home de 76 anys i nacionalitat espanyola mort. Platja vigilada i amb bandera groga per estat de la mar
18/06/2021,Platja Rec del Molí (L'Escala),Alt Empordà,Home,89,espanyola,Sense servei de vigilància,Desconeguda,1,18/06/2021: Platja Rec del Molí. L’Escala. (Alt Empordà) Home de 89 anys de nacionalitat espanyola. No vigilada
18/06/2021,Platja de Creixell,Tarragonès,Home,59,espanyola,Sense servei de vigilància,Desconeguda,1,18/06/2021: Platja de Creixell. Creixell (Tarragonès) Home de 59 anys de nacionalitat espanyola. No vigilada
30/06/2021,Platja del Moll Grec de l’Escala (Alt Empordà,Alt Empordà,Dona,83,francesa,Sí,Verda,1,30/06/2021: Platja del Moll Grec de l’Escala (Alt Empordà). Dona francesa de 83 anys. Platja vigilada amb bandera verda
01/07/2021,Platja dels Muntanyans (Torredembarra,Tarragonès,Home,75,espanyola,Sí,Verda,1,01/07/2021: Platja dels Muntanyans (Torredembarra) (Tarragonès). Home de 75 anys de nacionalitat espanyola. Platja vigilada amb bandera verda.
08/07/2021,Platja de Gavà (Baix Llobregat,Baix Llobregat,Home,70,espanyola,Sí,Verda,1,08/07/2021: Platja de Gavà (Baix Llobregat). Home de 70 anys de nacionalitat espanyola. Platja vigilada amb bandera verda. Mor a l’hospital Moisès Brogi
08/07/2021,Platja de Gavà (Baix Llobregat,Baix Llobregat,Home,69,espanyola,Sí,Verda,1,08/07/2021: Platja de Gavà (Baix Llobregat). Home de 69 anys de nacionalitat espanyola. Platja vigilada amb bandera verda. Mor a l’Hospital de Bellvitge
10/07/2021,Platja de Santa Margarida (Roses,Alt Empordà,Home,71,espanyola,Sí,Verda,1,10/07/2021: Platja de Santa Margarida (Roses). Home de 71 anys de nacionalitat espanyola. Platja vigilada i bandera verda
13/07/2021,Platja del Masnou,Maresme,Dona,25,xinesa,Desconegut,Desconeguda,1,13/07/2021: Platja del Masnou. Dona de 25 anys de nacionalitat xinesa. Rescatada per Salvament Marítim i Guàrdia Civil.
17/07/2021,Platja d’Empuriabrava (Castelló d’Empúries – Alt Empordà,Alt Empordà,Home,70,francesa,Sí,Groga,1,17/07/2021: Platja d’Empuriabrava (Castelló d’Empúries – Alt Empordà). Home de 70 anys de nacionalitat francesa. RCP infructuosa. Platja vigilada i bandera groga
19/07/2021,Platja Llarga (Tarragona – Tarragonès,Tarragonès,Home,86,espanyola,Sí,Verda,1,19/07/2021: Platja Llarga (Tarragona – Tarragonès). Home de 86 anys de nacionalitat espanyola. Home tret de l’aigua pels socorristes. Maniobres RCP del SEM infructuoses. Platja vigilada i bandera verda.
25/07/2021,Platja del Far de Sant Cristòfol (Vilanova i la Geltrú,Garraf,Dona,68,desconeguda,Sí,Groga,1,25/07/2021: Platja del Far de Sant Cristòfol (Vilanova i la Geltrú). Dona de 68 anys espanyola. Platja vigilada i amb bandera groga
03/08/2021,Platja de la Llosa de Cambrils,Baix Camp,Home,78,holandesa,Sí,Verda,1,03/08/2021: Platja de la Llosa de Cambrils. Home de 78 anys holandès. Platja vigilada i bandera verda
04/08/2021,Platja de Riumar de Deltebre,Baix Ebre,Home,68,francesa,Sí,Verda,1,04/08/2021: Platja de Riumar de Deltebre. Homes de 68 anys francès. Platja vigilada i amb bandera verda
14/08/2021,Platja de Riells de l’Escala (Alt Empordà,Alt Empordà,Home,72,francesa,Sí,Verda,1,14/08/2021: Platja de Riells de l’Escala (Alt Empordà). Home de 72 anys francès. RCP infructuós. Platja vigilada i bandera verda
21/08/2021,Platja de Ponent de Salou (Tarragonès,Tarragonès,Home,62,espanyola,Servei de vigilància finalitzat,Verda,1,21/08/2021: Platja de Ponent de Salou (Tarragonès). Home de 62 anys de nacionalitat espanyola. Havia finalitzat el servei de vigilància de la platja i havia onejat bandera verda.
27/08/2021,Platja de S’Abanell de Blanes (Selva,Selva,Home,82,alemanya,Servei de vigilància finalitzat,Verda,1,27/08/2021: Platja de S’Abanell de Blanes (Selva). Home de 82 anys de nacionalitat alemanya. No havia començat el servei de vigilància de la platja i avui oneja bandera verda.
04/09/2021,Platja del Miracle de Tarragona (Tarragonès,Tarragonès,Dona,50,espanyola,Sí,Groga,1,04/09/2021: Platja del Miracle de Tarragona (Tarragonès). Dona de 50 anys de nacionalitat espanyola. Platja vigilada i amb bandera groga.
05/09/2021,Cala Cap de Planes de Palamós,Baix Empordà,Home,42,espanyola,No,Desconeguda,1,"05/09/2021: Cala Cap de Planes de Palamós, davant les Illes Formigues (Baix Empordà). Home de 42 anys de nacionalitat espanyola. Platja no vigilada."
05/09/2021,Platja del Pont del Petroli de Badalona (Barcelonès,Barcelonès,Home,34,georgiana,Sí,Verda,1,05/09/2021: Platja del Pont del Petroli de Badalona (Barcelonès). Home de 34 anys de nacionalitat  georgiana. Platja vigilada i amb bandera verda.
05/09/2021,Platja del Moll Grec de l’Escala (Alt Empordà,Alt Empordà,Home,73,espanyola,Sí,Verda,1,"05/09/2021: Platja del Moll Grec de l’Escala (Alt Empordà). Home de 73 anys de nacionalitat espanyola. Platja vigilada amb bandera verda. Traslladat en estat crític a l’hospital, on ha mort."
10/09/2021,Platja del Rastrell de Roses (Alt Empordà,Alt Empordà,Home,60,suïssa,Servei de vigilància finalitzat,Groga,1,10/09/2021: Platja del Rastrell de Roses (Alt Empordà). Home d’uns 60 anys i nacionalitat suïssa. Platja amb servei finalitzat i bandera groga
23/06/2020,Platja Somorrostro Barcelona,Barcelona,Home,89,espanyola,No havia començat,Desconeguda,1,23/06/2020: Platja Somorrostro Barcelona. Home de 89 anys de nacionalitat espanyola. El servei de vigilància no havia començat
29/06/2020,Platja de la Punta / De la Perola de Roses (Alt Empordà,Alt Empordà,Home,7,desconeguda,No havia començat,Desconeguda,1,29/06/2020: Platja de la Punta / De la Perola de Roses (Alt Empordà). Nen de 7 anys mort ofegat. El servei de vigilància encara no havia començat
29/06/2020,Platja de la Punta / De la Perola de Roses (Alt Empordà,Alt Empordà,Home,6,desconeguda,Desconegut,Desconeguda,1,29/06/2020: Platja de la Punta / De la Perola de Roses (Alt Empordà). Nen de 6 anys mort a l’hospital uns dies després.
03/07/2020,Cala Cau de Tamariu (Baix Empordà,Baix Empordà,Home,70,desconeguda,Sense servei de vigilància,Desconeguda,1,03/07/2020: Cala Cau de Tamariu (Baix Empordà). Home d’uns 70 anys mort ofegat. Platja sense servei de vigilància
03/07/2020,Platja de Les Delícies de Sant Carles de la Ràpita (Monts,Montsià,Home,78,desconeguda,sí,Verda,1,03/07/2020: Platja de Les Delícies de Sant Carles de la Ràpita (Montsià). Home de 78 anys. Servei de vigilància i bandera verda
11/07/2020,Platja de les Botigues de Sitges (Garraf,Garraf,Home,64,espanyola,Sí,Verda,1,11/07/2020: Platja de les Botigues de Sitges (Garraf). Home de 64 anys i nacionalitat espanyola. Platja vigilada i amb bandera verda
19/07/2020,Platja de Bellamar de Premià de Mar (Maresme,Maresme,Home,69,marroquina,Sí,Verda,1,19/07/2020: Platja de Bellamar de Premià de Mar (Maresme). Home de 69 anys de nacionalitat marroquina. Platja vigilada i amb bandera verda
25/07/2020,Cala Sant Jordi d’Alfama Ametlla de Mar (Baix Ebre,Baix Ebre,Home,75,desconeguda,Sí,Verda,1,25/07/2020: Cala Sant Jordi d’Alfama Ametlla de Mar (Baix Ebre). Home de 75 anys. Platja vigilada i bandera verda
26/07/2020,Platja Griells Estartit (Baix Empordà,Baix Empordà,Dona,66,espanyola,Sí,Verda,1,26/07/2020: Platja Griells Estartit (Baix Empordà). Dona espanyola de 66 anys ofegada. Platja vigilada i amb bandera verda
26/07/2020,Platja de l’Estartit (Baix Empordà,Baix Empordà,Dona,63,francesa,Sí,Verda,1,26/07/2020: Platja de l’Estartit (Baix Empordà). Dona francesa de 63 anys ofegada. Platja vigilada i amb bandera verda
27/07/2020,Zona de roques de l’Escala,Alt Empordà,Home,86,espanyola,Sense servei de vigilància,No,1,27/07/2020: Zona de roques de l’Escala (Alt Empordà). Home de 86 anys i nacionalitat espanyola. Zona no vigilada
01/08/2020,Platja de la Barra de Sitges (Garraf,Garraf,Home,60,desconeguda,Sí,Verda,1,Platja de la Barra de Sitges (Garraf). Home d’uns 60 anys mort. Platja vigilada i amb bandera verda
04/08/2020,Platja de la Móra de Tarragona (Tarragonès,Tarragonès,Home,35,desconeguda,No havia començat,Desconeguda,1,"Platja de la Móra de Tarragona (Tarragonès). Home d’uns 35 anys mort, probablement ofegat. Platja amb servei de vigilància, però encara no havia començat"
04/08/2020,Platja del Marjal de Les Cases d’Alcanar (Montsià,Montsià,Home,70,desconeguda,Sí,Verda,1,Platja del Marjal de Les Cases d’Alcanar (Montsià). Home d’uns 70 anys. Platja vigilada i amb bandera verda
04/08/2020,Platja Gran de Palamós (Baix Empordà,Baix Empordà,Dona,88,espanyola,Sí,Verda,1,Platja Gran de Palamós (Baix Empordà). Dona de 88 anys espanyola traslladada en estat crític a l’hospital Trueta de Girona. Ha mort de matinada. Platja vigilada i bandera verda
07/08/2020,Platja de les Madrigueres/Sanatori (El Vendrell,El Vendrell,Home,88,espanyola,Sí,Verda,1,Platja de les Madrigueres/Sanatori (El Vendrell). Home de 88 anys de nacionalitat espanyola. Platja vigilada i amb bandera verda
